match,home_team,away_team,market_name,player_name,line,over_price,prop_id
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Liam Martin,1.5,17,67349
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Luke Sommerton,1.5,17,67358
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,William Kennedy,1.5,17,67360
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Jack Cole,1.5,19,67343
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Scott Sorensen,1.5,19,67348
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Jesse Ramien,1.5,19,67362
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Kayal Iro,1.5,19,67363
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Daniel Atkinson,1.5,19,67373
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Siosifa Talakai,1.5,19,67374
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Billy Burns,1.5,19,67379
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Ethan Strange,1.5,21,66434
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Chanel Harris-Tavita,1.5,21,66456
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Wayde Egan,1.5,21,66459
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Marata Niukore,1.5,21,66462
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Jackson Ford,1.5,21,66465
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Demitric Vaimauga,1.5,21,66466
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Leka Halasima,1.5,21,66467
